"Deal - ID","Deal - Value","Organization - MRR","Deal - Title","Deal - Deal created","Deal - Deal closed on","Deal - Stage","Deal - Status","Deal - Total activities","Deal - Organization","Deal - Nazwa Partnera","Deal - Lost reason","Organization - Branża","Organization - Spaceship link"
"850","1300","0","Hotel Monopol Wrocław deal","2018-01-23 12:16:05","2026-03-02 10:34:28","Consideration","Lost","25","Hotel Monopol Wrocław","Pracuj.pl","Brak decyzji","Hotele",""
"23470","2000","0","Mövenpick Grand Hotel Wrocław","2025-06-25 12:45:29","2026-03-27 08:14:01","Follow up","Lost","8","Hotel Grand sp. z o.o.","Pracuj.pl","Wykupili inne rozwiązanie","Hotele","https://spaceship7.kadro.dev/account/30222"
"23645","10000","0","Destigo Hotels","2025-07-03 13:09:05","","Blocked","Open","18","Destigo Hotels","Pracuj.pl","","Hotele",""
"24079","0","0","Park Wodny Bania","2025-07-24 14:45:58","2026-02-19 11:24:43","Follow up","Lost","5","Terma Bania","Pracuj.pl","Brak kontaktu","",""
"24203","1600","0","Sky Bowling","2025-07-31 08:56:55","","Blocked","Open","13","Sky Bowling","Pracuj.pl","","Rozrywka, atrakcje turystyczne i kultura",""
"24204","0","0","Mitsui High-tec (Europe) sp. z o.o.","2025-07-31 09:06:58","2026-03-26 09:15:11","Consideration","Lost","8","Mitsui High-tec (Europe) sp. z o.o.","Pracuj.pl","Brak kontaktu","",""
"24278","3700","0","Targi Kielce S.A.","2025-08-04 15:39:11","","Blocked","Open","9","Targi Kielce S.A","Pracuj.pl","","Inne",""
"24299","0","0","Teekanne","2025-08-05 16:13:21","2026-04-01 07:26:03","Consideration","Lost","5","Teekanne","Pracuj.pl","Brak kontaktu","",""
"24565","2500","2500","Hotel Mrągowo INC Sp. z o.o.","2025-08-21 16:31:54","2025-12-18 14:11:12","Follow up","Lost","8","Hotel Mrągowo INC Sp. z o.o.","Pracuj.pl","Brak kontaktu","Hotele",""
"24926","2000","0","Deal Panorama Morska","2025-09-10 09:47:05","2025-10-14 10:41:02","Follow up","Lost","1","Panorama Morska","Pracuj.pl","Wykupili inne rozwiązanie","",""
"25831","0","0","ICH POLAND SPÓŁKA Z OGRANICZONĄ","2025-10-21 07:57:11","2026-04-07 13:12:01","Lead","Lost","5","ICH POLAND SPÓŁKA Z OGRANICZONĄ","Pracuj.pl","Brak kontaktu","Produkcja i przemysł",""
"26057","700","569.7","Deal Art Suites","2025-10-30 16:09:04","2026-02-02 08:27:12","Success","Won","13","WPSM-GASTRO Sp. z o.o.","Pracuj.pl","","Hotele","https://spaceship.kadro.dev/accounts/36956"
"26931","5000","0","Eneris","2025-12-16 12:25:40","2026-03-11 16:10:04","Follow up","Lost","4","Eneris","Pracuj.pl","Został przy obecnym rozwiązaniu","Inne",""
"28028","2136.38","0","Deal Noble Securities ❌","2026-02-11 11:34:43","","Blocked","Open","7","Noble Securities","eRecruiter","","Usługi",""
"28045","0","0","canagri.pl","2026-02-12 12:24:49","2026-04-01 12:09:33","Consideration","Lost","7","canagri.pl","eRecruiter","Wykupili inne rozwiązanie","Produkcja i przemysł",""
"28046","959.5","0","Deal IMPULS Leasing","2026-02-12 13:06:08","2026-04-09 09:59:41","Blocked","Lost","7","IMPULS Leasing","eRecruiter","Frozen","Usługi",""
"28049","1424.25","0","Deal Hotel Kiston","2026-02-12 13:31:07","2026-03-10 20:02:22","Consideration","Lost","7","Hotel Kiston","Pracuj.pl","Został przy obecnym rozwiązaniu","Hotele",""
"28064","5000","0","consorfrut.pl","2026-02-13 12:16:33","","Contract negotiation","Open","6","consorfrut.pl","eRecruiter","","Produkcja i przemysł",""
"28129","0","0","Deal SPL","2026-02-17 12:11:59","","Follow up","Open","8","SPL","eRecruiter","","Inne","https://spaceship.kadro.dev/accounts/38063"
"28297","5000","0","Ryan Air Sun Deal","2026-02-24 17:40:00","2026-03-03 15:45:25","Follow up","Lost","0","Ryan Air Sun","Pracuj.pl","Brak funkcjonalności","Inne",""
"28309","1200","0","Tirsped (Hotel Młyn Klekotki)","2026-02-25 09:55:20","","Follow up","Open","9","Tirsped (Hotel Młyn Klekotki)","Pracuj.pl","","Hotele",""
"28368","0","0","JS ENERGY EUROPE sp. z o.o.","2026-02-27 14:10:30","2026-03-12 16:28:49","Follow up","Lost","3","JS ENERGY EUROPE sp. z o.o.","eRecruiter","Osoba z leada nie jest decyzyjna","Produkcja i przemysł",""
"28369","0","0","'- SIEĆ BADAWCZA ŁUKASIEWICZ - KRAKOWSKI INSTYTUT TECHNOLOGICZNY","2026-02-27 14:12:19","","Follow up","Open","6","'- SIEĆ BADAWCZA ŁUKASIEWICZ - KRAKOWSKI INSTYTUT TECHNOLOGICZNY","eRecruiter","","Inne",""
"28370","0","0","SOKPOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","2026-02-27 14:24:19","2026-03-03 14:24:24","Prospect","Lost","1","SOKPOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","eRecruiter","Został przy obecnym rozwiązaniu","Produkcja i przemysł",""
"28371","0","0","Atende S.A.","2026-02-27 14:26:07","2026-02-27 14:26:39","Follow up","Lost","0","Atende S.A.","eRecruiter","Brak funkcjonalności","Inne",""
"28373","500","0","Villa Omnia","2026-02-27 16:15:59","","Demo/Meeting","Open","3","Villa Omnia","Pracuj.pl","","Hotele",""
"28460","5000","0","Deal Dla Spania sieć sklepów","2026-03-04 16:01:27","2026-03-26 09:43:19","Demo/Meeting","Lost","1","Dla Spania sieć sklepów","Pracuj.pl","Został przy obecnym rozwiązaniu","Handel",""
"28477","0","0","N2H (Homla)","2026-03-05 11:42:01","","Lead","Open","3","N2H","Pracuj.pl","","Handel",""
"28478","0","0","Deal Castorama","2026-03-05 11:44:20","","Consideration","Open","4","Castorama Polska","Pracuj.pl","","Handel",""
"28480","0","0","Deal ALAB Diagnostyka","2026-03-05 12:48:44","","Demo/Meeting","Open","1","ALAB Diagnostyka","Pracuj.pl","","Opieka zdrowotna",""
"28586","427.28","0","BELAYO LTD sp. z o.o. ❌","2026-03-12 15:53:52","","Consideration","Open","6","BELAYO LTD sp. z o.o.","eRecruiter","","Usługi",""
"28646","0","0","Circle K Polska Sp. z o.o.","2026-03-17 09:42:15","","Follow up","Open","4","Circle K Polska Sp. z o.o.","Pracuj.pl","","Handel",""
"28647","0","0","Hampton by Hilton Warsaw Mokotow","2026-03-17 09:45:00","","Consideration","Open","2","Hampton by Hilton Warsaw Mokotow","Pracuj.pl","","Hotele",""
"28655","0","0","Vision Express sp. z o.o.","2026-03-17 14:22:18","","Follow up","Open","4","Vision Express sp. z o.o.","eRecruiter","","Usługi",""
"28710","0","0","Trend Glass","2026-03-20 13:20:50","2026-03-26 15:11:23","Demo/Meeting","Lost","3","Trend Glass","Pracuj.pl","Brak funkcjonalności","Produkcja i przemysł",""
"28772","0","0","Spółdzielcza Mleczarnia Spomle","2026-03-24 09:56:08","","Prospect","Open","1","Spółdzielcza Mleczarnia Spomle","Pracuj.pl","","Produkcja i przemysł","https://spaceship7.kadro.dev/account/22423"
"28777","0","0","Frisco","2026-03-24 10:56:17","","Demo/Meeting","Open","3","Frisco","eRecruiter","","Produkcja i przemysł",""
"28807","0","0","PG Biogaz","2026-03-25 13:03:06","","Lead","Open","4","PG Biogaz","Pracuj.pl","","Produkcja i przemysł",""
"28837","1000","0","Hotel Hampton by Hilton Wspolna Hotel Management Sp. z o.o","2026-03-26 13:24:33","","Demo/Meeting","Open","2","Hotel Hampton by Hilton Wspolna Hotel Management Sp. z o.o","Pracuj.pl","","Hotele",""
"28854","0","0","Kolporter spółka z ograniczoną odpowiedzialnością","2026-03-27 09:37:33","","Follow up","Open","3","Kolporter spółka z ograniczoną odpowiedzialnością","eRecruiter","","Logistyka",""
"28863","0","0","Radisson Hotele HQ","2026-03-27 12:57:36","","Lead","Open","1","Radisson Hotele HQ","Pracuj.pl","","Hotele",""
"28864","0","0","ihg.com Ghelamco Hotel sp. z o.o.","2026-03-27 13:01:29","","Follow up","Open","3","ihg.com","eRecruiter","","Hotele",""
"28919","2278.8","0","Deal Spółdzielnia Handlowa Jubilat ❌","2026-03-30 13:44:10","","Demo/Meeting","Open","5","Spółdzielnia Handlowa Jubilat","Pracuj.pl","","Handel",""
"28920","1851.53","0","Deal Kuźnia Matrycowa","2026-03-30 13:51:21","2026-04-08 10:17:55","Prospect","Lost","4","Kuźnia Matrycowa","Pracuj.pl","Duplikat","Produkcja i przemysł",""
"28986","0","0","GWIAZDA MORZA"" HOTEL MANAGEMENT Sp. z o.o. Sp. K.","2026-04-02 13:35:42","","Follow up","Open","2","GWIAZDA MORZA"" HOTEL MANAGEMENT Sp. z o.o. Sp. K.","eRecruiter","","Hotele",""
"29047","0","0","Polski Holding Hotelowy","2026-04-07 13:42:11","2026-04-07 13:59:25","Prospect","Lost","0","Polski Holding Hotelowy","Pracuj.pl","Duplikat","Hotele",""
"29057","0","0","Deal Four Points Warsaw Sheraton","2026-04-07 20:12:06","2026-04-07 20:12:33","Prospect","Lost","0","Four Points Warsaw Sheraton","Pracuj.pl","Duplikat","Hotele",""
"29079","0","0","Deal OTR Group","2026-04-08 15:43:13","2026-04-09 00:00:00","Prospect","Lost","3","OTR Group","Pracuj.pl","Duplikat","Hotele","https://spaceship.kadro.dev/accounts/38005"
"29110","0","0","Deal TMR","2026-04-10 10:31:52","","Demo/Meeting","Open","3","TMR","Pracuj.pl","","Rozrywka, atrakcje turystyczne i kultura",""
