"Deal - ID","Deal - MRR","Deal - Value","Organization - MRR","Deal - Title","Deal - Deal created","Deal - Deal closed on","Deal - Stage","Organization - Spaceship link","Deal - Status","Deal - Next activity date","Deal - Won time","Deal - Lost time","Deal - Total activities","Deal - Organization","Organization - Status konta","Organization - Pakiet","Organization - Liczba userów","Organization - Branża","Deal - Nazwa Partnera"
"850","0","1300","0","Hotel Monopol Wrocław deal","2018-01-23 12:16:05","2026-03-02 10:34:28","Consideration","","Lost","2026-03-26","","2026-03-02 10:34:28","25","Hotel Monopol Wrocław","","","","Hotele","Pracuj.pl"
"22370","0","20000","0","Zdrojowa Hotels Sp. z o.o. (IGHP)","2025-04-29 08:51:59","","Consideration","https://spaceship7.kadro.dev/account/28092","Open","2026-04-02","","","10","Zdrojowa Hotels Sp. z o.o.","Zablokowane","Premium","","Hotele","eRecruiter"
"23470","0","2000","0","Mövenpick Grand Hotel Wrocław","2025-06-25 12:45:29","2026-03-27 08:14:01","Follow up","https://spaceship7.kadro.dev/account/30222","Lost","","","2026-03-27 08:14:01","8","Hotel Grand sp. z o.o.","Zablokowane","","","Hotele","Pracuj.pl"
"23645","0","10000","0","Destigo Hotels","2025-07-03 13:09:05","","Blocked","","Open","2026-03-06","","","17","Destigo Hotels","","","","Hotele","Pracuj.pl"
"23734","0","15000","0","Grycan Lodziarnie Firmowe deal","2025-07-07 20:24:54","","Follow up","","Open","2026-03-18","","","8","Grycan Lodziarnie Firmowe","","","","","eRecruiter"
"24079","0","0","0","Park Wodny Bania","2025-07-24 14:45:58","2026-02-19 11:24:43","Follow up","","Lost","","","2026-02-19 11:24:43","5","Terma Bania","","","","","Pracuj.pl"
"24203","0","1600","0","Sky Bowling","2025-07-31 08:56:55","","Blocked","","Open","2026-04-08","","","14","Sky Bowling","","","","Rozrywka, atrakcje turystyczne i kultura","Pracuj.pl"
"24204","0","0","0","Mitsui High-tec (Europe) sp. z o.o.","2025-07-31 09:06:58","2026-03-26 09:15:11","Consideration","","Lost","","","2026-03-26 09:15:11","8","Mitsui High-tec (Europe) sp. z o.o.","","","","","Pracuj.pl"
"24278","0","3700","0","Targi Kielce S.A.","2025-08-04 15:39:11","","Blocked","","Open","2026-09-03","","","9","Targi Kielce S.A","","","120","Inne","Pracuj.pl"
"24299","0","0","0","Teekanne","2025-08-05 16:13:21","2026-04-01 07:26:03","Consideration","","Lost","","","2026-04-01 07:26:03","5","Teekanne","","","","","Pracuj.pl"
"24565","0","2500","2500","Hotel Mrągowo INC Sp. z o.o.","2025-08-21 16:31:54","2025-12-18 14:11:12","Follow up","","Lost","","","2025-12-18 14:11:12","8","Hotel Mrągowo INC Sp. z o.o.","","","","Hotele","Pracuj.pl"
"24926","0","2000","0","Deal Panorama Morska","2025-09-10 09:47:05","2025-10-14 10:41:02","Follow up","","Lost","","","2025-10-14 10:41:02","1","Panorama Morska","","","","","Pracuj.pl"
"25831","0","0","0","ICH POLAND SPÓŁKA Z OGRANICZONĄ","2025-10-21 07:57:11","","Follow up","","Open","2026-04-02","","","5","ICH POLAND SPÓŁKA Z OGRANICZONĄ","","","","","Pracuj.pl"
"26057","0","700","569.7","Deal Art Suites","2025-10-30 16:09:04","2026-02-02 08:27:12","Success","https://spaceship.kadro.dev/accounts/36956","Won","2026-02-18","2026-02-02 08:27:12","","13","WPSM-GASTRO Sp. z o.o.","","Planuję i rozliczam","","Hotele","Pracuj.pl"
"26931","0","5000","0","Eneris","2025-12-16 12:25:40","2026-03-11 16:10:04","Follow up","","Lost","","","2026-03-11 16:10:04","4","Eneris","","","","Inne","Pracuj.pl"
"28028","0","2136.38","0","Deal Noble Securities ❌","2026-02-11 11:34:43","","Consideration","","Open","2026-04-08","","","6","Noble Securities","","","","Usługi","eRecruiter"
"28045","0","0","0","canagri.pl","2026-02-12 12:24:49","","Consideration","","Open","2026-04-02","","","7","canagri.pl","","","","","eRecruiter"
"28046","0","959.5","0","Deal IMPULS Leasing ❌","2026-02-12 13:06:08","","Blocked","","Open","2026-04-09","","","6","IMPULS Leasing","","","","Usługi","eRecruiter"
"28049","0","1424.25","0","Deal Hotel Kiston","2026-02-12 13:31:07","2026-03-10 20:02:22","Consideration","","Lost","","","2026-03-10 20:02:22","7","Hotel Kiston","","","","Hotele","Pracuj.pl"
"28064","0","5000","0","consorfrut.pl","2026-02-13 12:16:33","","Contract negotiation","","Open","2026-04-03","","","6","consorfrut.pl","","","","","eRecruiter"
"28129","0","0","0","Deal SPL","2026-02-17 12:11:59","","Follow up","https://spaceship.kadro.dev/accounts/38063","Open","2026-03-27","","","7","SPL","","","","Inne","eRecruiter"
"28297","0","5000","0","Ryan Air Sun Deal","2026-02-24 17:40:00","2026-03-03 15:45:25","Follow up","","Lost","","","2026-03-03 15:45:25","0","Ryan Air Sun","","Planuję czas pracy","","Inne","Pracuj.pl"
